id,family,scenario,event,true_probability,exact_fraction,derivation,valid,plain,explicit,reversed,noul,complement_inverted,numeric_correct,numeric_selected,complement_sum,order_difference,plain_error_pp,explicit_error_pp,reversed_error_pp,noul_error_pp,complement_inverted_error_pp
P031,cards,One card is drawn uniformly from a standard 52-card deck with no jokers. The card is not observed.,The card is an ace.,0.07692307692307693,1/13,Enumerate 52 cards; 4 satisfy the event.,True,0.3,0.56,0.28,0.11,0.13,True,1/13,0.98,0.019999999999999962,22.307692307692307,48.307692307692314,20.30769230769231,3.3076923076923075,5.3076923076923075
P032,cards,One card is drawn uniformly from a standard 52-card deck with no jokers. The card is not observed.,"The card is a face card (jack, queen or king).",0.23076923076923078,3/13,Enumerate 52 cards; 12 satisfy the event.,True,0.42,0.57,0.45,0.18,0.21999999999999997,True,3/13,0.96,0.030000000000000027,18.92307692307692,33.92307692307692,21.923076923076923,-5.076923076923078,-1.0769230769230809
P033,cards,One card is drawn uniformly from a standard 52-card deck with no jokers. The card is not observed.,The card is a red ace.,0.038461538461538464,1/26,Enumerate 52 cards; 2 satisfy the event.,True,0.16,0.39,0.2,0.08,0.07999999999999996,True,1/26,1.0,0.04000000000000001,12.153846153846153,35.15384615384616,16.153846153846153,4.153846153846154,4.15384615384615
P034,cards,One card is drawn uniformly from a standard 52-card deck with no jokers. The card is not observed.,The card is a heart or an ace (or both).,0.3076923076923077,4/13,Enumerate 52 cards; 16 satisfy the event.,True,0.83,0.96,0.83,0.3,0.38,True,4/13,0.9199999999999999,0.0,52.230769230769226,65.23076923076923,52.230769230769226,-0.769230769230772,7.23076923076923
P035,cards,One card is drawn uniformly from a standard 52-card deck with no jokers. The card is not observed.,The card is the queen of spades.,0.019230769230769232,1/52,Enumerate 52 cards; 1 satisfy the event.,True,0.13,0.38,0.11,0.05,0.06999999999999995,True,1/52,0.9800000000000001,0.020000000000000004,11.076923076923077,36.07692307692308,9.076923076923077,3.076923076923077,5.076923076923072
P036,cards,One card is drawn uniformly from a standard 52-card deck with no jokers. The card is not observed.,The card is neither a heart nor an ace.,0.6923076923076923,9/13,Enumerate 52 cards; 36 satisfy the event.,True,0.9,0.9,0.87,0.67,0.76,True,9/13,0.91,0.030000000000000027,20.769230769230774,20.769230769230774,17.76923076923077,-2.230769230769225,6.769230769230772
P037,sampling,A bag contains 1 red and 9 blue balls. Draw 1 balls uniformly without replacement. No colors are observed.,Exactly 1 drawn balls are red.,0.1,1/10,"C(1,1)*C(9,0)/C(10,1) = 1/10",True,0.4,0.57,0.34,0.14,0.14,True,1/10,1.0,0.06,30.000000000000004,47.0,24.000000000000004,4.000000000000001,4.000000000000001
P038,sampling,A bag contains 9 red and 1 blue balls. Draw 1 balls uniformly without replacement. No colors are observed.,Exactly 1 drawn balls are red.,0.9,9/10,"C(9,1)*C(1,0)/C(10,1) = 9/10",True,0.93,0.95,0.89,0.74,0.83,True,9/10,0.91,0.040000000000000036,3.0000000000000027,4.999999999999993,-1.0000000000000009,-16.000000000000004,-7.000000000000006
P039,sampling,A bag contains 3 red and 7 blue balls. Draw 2 balls uniformly without replacement. No colors are observed.,Exactly 2 drawn balls are red.,0.06666666666666667,1/15,"C(3,2)*C(7,0)/C(10,2) = 1/15",True,0.11,0.11,0.07,0.07,0.14,True,1/15,0.9299999999999999,0.039999999999999994,4.333333333333334,4.333333333333334,0.3333333333333341,0.3333333333333341,7.333333333333335
P040,sampling,"A bag contains 3 red and 7 blue balls. Draw 2 balls uniformly with replacement, mixing after every draw. No colors are observed.",Exactly 2 drawn balls are red.,0.09,9/100,"C(2,2)*(3/10)^2*(7/10)^0 = 9/100",True,0.19,0.21,0.18,0.1,0.25,True,9/100,0.85,0.010000000000000009,10.0,12.0,9.0,1.0000000000000009,16.0
P041,sampling,A bag contains 5 red and 5 blue balls. Draw 2 balls uniformly without replacement. No colors are observed.,Exactly 1 drawn balls are red.,0.5555555555555556,5/9,"C(5,1)*C(5,1)/C(10,2) = 5/9",True,0.88,0.94,0.84,0.49,0.71,True,5/9,0.78,0.040000000000000036,32.44444444444444,38.444444444444436,28.44444444444444,-6.555555555555559,15.44444444444444
P042,sampling,"A bag contains 5 red and 5 blue balls. Draw 2 balls uniformly with replacement, mixing after every draw. No colors are observed.",Exactly 1 drawn balls are red.,0.5,1/2,"C(2,1)*(5/10)^1*(5/10)^1 = 1/2",True,0.87,0.94,0.83,0.47,0.6799999999999999,True,1/2,0.79,0.040000000000000036,37.0,43.99999999999999,32.99999999999999,-3.0000000000000027,17.999999999999993
P043,sampling,A bag contains 2 red and 8 blue balls. Draw 3 balls uniformly without replacement. No colors are observed.,Exactly 0 drawn balls are red.,0.4666666666666667,7/15,"C(2,0)*C(8,3)/C(10,3) = 7/15",True,0.9,0.92,0.9,0.69,0.71,True,7/15,0.98,0.0,43.333333333333336,45.333333333333336,43.333333333333336,22.33333333333333,24.33333333333333
P044,sampling,A bag contains 7 red and 3 blue balls. Draw 3 balls uniformly without replacement. No colors are observed.,Exactly 2 drawn balls are red.,0.525,21/40,"C(7,2)*C(3,1)/C(10,3) = 21/40",True,0.81,0.83,0.77,0.47,0.6699999999999999,True,21/40,0.8,0.040000000000000036,28.500000000000004,30.499999999999993,24.5,-5.500000000000005,14.499999999999991
P045,sampling,A bag contains 1 red and 9 blue balls. Draw 2 balls uniformly without replacement. No colors are observed.,Exactly 2 drawn balls are red.,0.0,0,"C(1,2)*C(9,0)/C(10,2) = 0",True,0.0,0.0,0.0,0.01,0.020000000000000018,True,0,0.99,0.0,0.0,0.0,0.0,1.0,2.0000000000000018
P046,sampling,A bag contains 10 red and 0 blue balls. Draw 2 balls uniformly without replacement. No colors are observed.,Exactly 2 drawn balls are red.,1.0,1,"C(10,2)*C(0,0)/C(10,2) = 1",True,1.0,1.0,1.0,0.99,0.98,True,1,1.01,0.0,0.0,0.0,0.0,-1.0000000000000009,-2.0000000000000018
P047,uniform_integers,An integer is selected uniformly from 1 through 10 inclusive. Its value is not observed.,The integer is even.,0.5,1/2,5 favorable values / 10 equally likely values.,True,0.95,0.97,0.9,0.51,0.55,True,1/2,0.96,0.04999999999999993,44.99999999999999,47.0,40.0,1.0000000000000009,5.000000000000004
P048,uniform_integers,An integer is selected uniformly from 1 through 100 inclusive. Its value is not observed.,The integer is 1.,0.01,1/100,1 favorable values / 100 equally likely values.,True,0.12,0.41,0.11,0.06,0.06000000000000005,True,1/100,1.0,0.009999999999999995,11.0,40.0,10.0,5.0,5.000000000000005
P049,uniform_integers,An integer is selected uniformly from 1 through 100 inclusive. Its value is not observed.,The integer is at most 99.,0.99,99/100,99 favorable values / 100 equally likely values.,True,0.98,0.99,0.96,0.94,0.95,True,99/100,0.99,0.020000000000000018,-1.0000000000000009,0.0,-3.0000000000000027,-5.000000000000004,-4.0000000000000036
P050,uniform_integers,An integer is selected uniformly from 0 through 9 inclusive. Its value is not observed.,The integer is at least 8.,0.2,1/5,2 favorable values / 10 equally likely values.,True,0.43,0.24,0.34,0.17,0.19999999999999996,True,1/5,0.9700000000000001,0.08999999999999997,23.0,3.9999999999999982,14.000000000000002,-3.0,-5.551115123125783e-15
P051,uniform_integers,An integer is selected uniformly from 1 through 12 inclusive. Its value is not observed.,The integer is divisible by 3.,0.3333333333333333,1/3,4 favorable values / 12 equally likely values.,True,0.83,0.83,0.8,0.27,0.30000000000000004,True,1/3,0.97,0.029999999999999916,49.666666666666664,49.666666666666664,46.66666666666667,-6.3333333333333295,-3.333333333333327
P052,uniform_integers,An integer is selected uniformly from 1 through 20 inclusive. Its value is not observed.,The integer is prime.,0.4,2/5,8 favorable values / 20 equally likely values.,True,0.7,0.48,0.72,0.35,0.36,True,2/5,0.99,0.020000000000000018,29.999999999999993,7.9999999999999964,31.999999999999996,-5.000000000000004,-4.0000000000000036
P053,conditional,"A factory makes items. Fraction 1/100 are defective. A detector flags a defective item with probability 9/10, and flags a nondefective item with probability 1/10. An item is sampled uniformly from production and is observed to be flagged.",The sampled item is defective.,0.08333333333333333,1/12,Bayes: (1/100*9/10)/(1/100*9/10+(1-1/100)*1/10) = 1/12,True,0.3,0.35,0.38,0.23,0.28,True,1/12,0.95,0.08000000000000002,21.666666666666668,26.666666666666668,29.666666666666668,14.666666666666666,19.66666666666667
P054,conditional,"A factory makes items. Fraction 1/2 are defective. A detector flags a defective item with probability 9/10, and flags a nondefective item with probability 1/10. An item is sampled uniformly from production and is observed to be flagged.",The sampled item is defective.,0.9,9/10,Bayes: (1/2*9/10)/(1/2*9/10+(1-1/2)*1/10) = 9/10,True,0.98,0.96,0.98,0.86,0.85,True,9/10,1.01,0.0,7.9999999999999964,5.999999999999995,7.9999999999999964,-4.0000000000000036,-5.000000000000004
P055,conditional,"A factory makes items. Fraction 1/1000 are defective. A detector flags a defective item with probability 99/100, and flags a nondefective item with probability 1/100. An item is sampled uniformly from production and is observed to be flagged.",The sampled item is defective.,0.09016393442622951,11/122,Bayes: (1/1000*99/100)/(1/1000*99/100+(1-1/1000)*1/100) = 11/122,True,0.29,0.35,0.36,0.26,0.25,True,11/122,1.01,0.07,19.983606557377048,25.983606557377048,26.983606557377048,16.98360655737705,15.983606557377051
P056,conditional,"A factory makes items. Fraction 1/10 are defective. A detector flags a defective item with probability 4/5, and flags a nondefective item with probability 1/5. An item is sampled uniformly from production and is observed to be flagged.",The sampled item is defective.,0.3076923076923077,4/13,Bayes: (1/10*4/5)/(1/10*4/5+(1-1/10)*1/5) = 4/13,True,0.44,0.46,0.49,0.28,0.32999999999999996,True,4/13,0.9500000000000001,0.04999999999999999,13.23076923076923,15.230769230769232,18.230769230769226,-2.7692307692307683,2.230769230769225
P057,conditional,A fair six-sided die numbered 1 through 6 is rolled. You learn only that the result is even.,The result is 6.,0.3333333333333333,1/3,"Possible results {2,4,6}; one of three is 6.",True,0.42,0.61,0.44,0.25,0.39,True,1/3,0.86,0.020000000000000018,8.666666666666668,27.666666666666668,10.666666666666668,-8.333333333333332,5.66666666666667
P058,conditional,One card is drawn uniformly from a standard 52-card deck. You learn only that it is red.,The card is a heart.,0.5,1/2,13 hearts among 26 red cards.,True,0.83,0.89,0.75,0.45,0.52,True,1/2,0.9299999999999999,0.07999999999999996,32.99999999999999,39.0,25.0,-4.999999999999999,2.0000000000000018
P059,conditional,A bag has 3 red and 7 blue balls. Two balls are drawn uniformly without replacement. The first is observed to be red; the second has not been observed.,The second ball is red.,0.2222222222222222,2/9,"After removing a red ball, 2 of 9 remaining balls are red.",True,0.24,0.38,0.22,0.15,0.18999999999999995,True,2/9,0.9600000000000001,0.01999999999999999,1.7777777777777781,15.777777777777779,-0.22222222222222088,-7.222222222222221,-3.2222222222222263
P060,conditional,"A prize is placed uniformly behind one of three doors. You choose door 1. A host who knows the location always opens a different, empty door and always offers a switch. If both other doors are empty, the host chooses between them uniformly. You switch to the remaining unopened door.",You win the prize.,0.6666666666666666,2/3,Switching wins exactly when the original choice is wrong: 2/3.,True,0.54,0.45,0.56,0.46,0.51,True,2/3,0.95,0.020000000000000018,-12.666666666666659,-21.66666666666666,-10.666666666666657,-20.66666666666666,-15.666666666666663
